    0.136490939352489882E+02    0.212968139207617979E+00    0.143890536811266312E+02    0.987222005950728065E+00    0.259652716701392894E+01   -0.249627015087458481E+02
    0.137539317693062912E+02    0.424218709047054499E+00    0.145972105197029194E+02    0.133322820967944011E+01    0.322065226104066071E+00   -0.248378621710918601E+02
    0.135798718521222277E+02    0.238449685664125305E+00    0.142385718624316766E+02    0.107025089682819896E+01    0.282329236736750566E+01   -0.243019372362343873E+02
    0.139241955427071744E+02    0.483657189455645065E+00    0.145236225288148653E+02    0.147393745968726408E+01    0.118502697222292386E+01   -0.240007258110325701E+02
    0.135827345297221775E+02    0.178021983834399516E+00    0.145992689344961928E+02    0.128820056648287395E+01    0.782328257893870171E+00   -0.239985059172832855E+02
    0.139206515652065441E+02    0.479207155147069186E+00    0.145465688031004454E+02    0.123606721641514716E+01    0.101641229349812945E+01   -0.239129520093989427E+02
    0.138116927386351058E+02    0.328443252520276674E+00    0.144192663993426748E+02    0.732235219068963161E+00    0.240096594766286442E+01   -0.239116539184594075E+02
    0.137103292226800502E+02    0.308202719031572259E+00    0.147415320220205590E+02    0.102969475915502073E+01    0.504662214566384826E+00   -0.238572023444802070E+02
    0.136621988761185129E+02    0.334824650094703802E+00    0.143201611908416560E+02    0.115747352842254170E+01    0.217973605096313472E+01   -0.238365838706086031E+02
    0.138636040100109792E+02    0.448214946044604767E+00    0.144784578543548506E+02    0.141136309112500813E+01    0.150176204416936665E+01   -0.238323839973049054E+02
    0.137444939805935622E+02    0.268707866361433956E+00    0.148342476993288095E+02    0.635470825030475694E+00    0.151125650462505412E+01   -0.236508426847187572E+02
    0.137177923364054877E+02    0.404985526173442412E+00    0.144083010952272677E+02    0.129137151145642681E+01    0.140644693212358862E+01   -0.236374722841900535E+02
    0.137858833721990628E+02    0.373832789824449951E+00    0.147176593773138134E+02    0.676019067084411285E+00    0.156805301519092155E+01   -0.235112950056300818E+02
    0.138495140667638807E+02    0.496747186243463423E+00    0.144937879454465701E+02    0.155059968365532885E+01    0.106022044785759539E+01   -0.232201942544376045E+02
    0.135798468516359296E+02    0.213918007609670890E+00    0.144839778609573386E+02    0.158899587387160013E+01    0.109149443526489431E+01   -0.231383773594469062E+02
    0.139809412900776611E+02    0.534342704464283447E+00    0.145959556697907082E+02    0.121990608937643596E+01    0.892949265438962692E+00   -0.231147731427017149E+02
    0.137226857623484797E+02    0.375733032267476397E+00    0.144163288776936263E+02    0.149873701538545445E+01    0.164562533781953735E+01   -0.230894167497773708E+02
    0.135594133979840770E+02    0.140124025256699647E+00    0.145814169293123168E+02    0.134881117092941283E+01    0.692214375135484783E+00   -0.230019322957458456E+02
    0.137916435486555429E+02    0.387822022373089770E+00    0.145937129428292671E+02    0.833506793274868096E+00    0.116708436331831233E+01   -0.229797817018476209E+02
    0.136640070599597365E+02    0.247752558047224153E+00    0.145435607742496664E+02    0.182890745281137646E+01    0.946264302746011254E+00   -0.229788477314647039E+02
    0.138868604914152378E+02    0.444169124093993894E+00    0.144809706094445492E+02    0.130052981476474083E+01    0.142301026245517837E+01   -0.229564737644854944E+02
    0.136588145522069127E+02    0.303351090992580730E+00    0.142392773902663201E+02    0.109056079449258414E+01    0.272266143849412767E+01   -0.227598261316318187E+02
    0.136584093767131485E+02    0.292378351145396231E+00    0.142352280034644743E+02    0.110083643940825171E+01    0.290397631008428014E+01   -0.226851714172798715E+02
    0.136643386452092592E+02    0.262193677639573186E+00    0.146924057078512504E+02    0.992106768365691449E+00    0.898634095640926001E+00   -0.226762745684870239E+02
    0.136549600228992194E+02    0.258266837467980903E+00    0.146629111987832701E+02    0.103637438841490126E+01    0.902207974760554920E+00   -0.226352183900522839E+02
